latitude,longitude,dateTime,regionCode,universal_aqi,universal_aqi_category,dominant_pollutant,co,no2,o3,pm10,pm25,so2,health_general_population,health_elderly,health_lung_disease,health_heart_disease,health_athletes,health_pregnant_women,health_children
-6.906812,107.662657,2024-11-24T09:00:00Z,id,37,Low air quality,pm25,680.14,14.33,54.33,64.27,53.53,8.83,"Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.821292,107.665077,2024-11-24T09:00:00Z,id,36,Low air quality,pm25,756.56,8.55,69.93,65.03,56.19,10.43,"Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.928039,107.594551,2024-11-24T09:00:00Z,id,37,Low air quality,pm25,662.26,12.37,50.75,62.89,52.35,8.54,"Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, avoid intense activities outdoors. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.95372,107.689161,2024-11-24T09:00:00Z,id,39,Low air quality,pm25,605.08,12.36,52.51,57.31,48.21,7.2,"Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.824725,107.559676,2024-11-24T09:00:00Z,id,36,Low air quality,pm25,762.07,8.53,62.43,64.85,56.11,10.64,"Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.990435,107.509711,2024-11-24T09:00:00Z,id,47,Moderate air quality,pm25,520.9,5.7,49.6,39.81,37.12,5.7,"If you start to feel respiratory discomfort such as coughing or breathing difficulties, consider reducing the intensity of your outdoor activities. Try to limit the time you spend near busy roads, construction sites, open fires and other sources of smoke.","Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. Keep relevant medication(s) available and consult a doctor with any questions. It is recommended to limit the time you are near busy roads, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. Keep relevant medication(s) available and consult a doctor with any questions. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.995161,107.660528,2024-11-24T09:00:00Z,id,40,Moderate air quality,pm25,541.12,8.8,50.4,50.0,44.94,5.97,"If you start to feel respiratory discomfort such as coughing or breathing difficulties, consider reducing the intensity of your outdoor activities. Try to limit the time you spend near busy roads, construction sites, open fires and other sources of smoke.","Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. Keep relevant medication(s) available and consult a doctor with any questions. It is recommended to limit the time you are near busy roads, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. Keep relevant medication(s) available and consult a doctor with any questions. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.820055,107.567275,2024-11-24T09:00:00Z,id,36,Low air quality,pm25,767.19,8.6,62.36,65.32,56.21,10.75,"Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.970434,107.637406,2024-11-24T09:00:00Z,id,42,Moderate air quality,pm25,583.75,6.63,50.34,47.11,42.09,6.88,"If you start to feel respiratory discomfort such as coughing or breathing difficulties, consider reducing the intensity of your outdoor activities. Try to limit the time you spend near busy roads, construction sites, open fires and other sources of smoke.","Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. Keep relevant medication(s) available and consult a doctor with any questions. It is recommended to limit the time you are near busy roads, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. Keep relevant medication(s) available and consult a doctor with any questions. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.840104,107.602532,2024-11-24T09:00:00Z,id,36,Low air quality,pm25,762.11,8.58,62.4,64.73,55.75,10.63,"Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.902577,107.650825,2024-11-24T09:00:00Z,id,37,Low air quality,pm25,688.76,14.91,54.27,65.26,54.36,9.03,"Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.895171,107.514219,2024-11-24T09:00:00Z,id,38,Low air quality,pm25,670.83,7.43,48.62,55.91,49.39,8.77,"Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, avoid intense activities outdoors. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.800741,107.553413,2024-11-24T09:00:00Z,id,36,Low air quality,pm25,764.95,8.55,63.5,65.17,56.05,10.7,"Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.980081,107.675194,2024-11-24T09:00:00Z,id,43,Moderate air quality,pm25,563.07,6.53,51.27,45.9,41.17,6.38,"If you start to feel respiratory discomfort such as coughing or breathing difficulties, consider reducing the intensity of your outdoor activities. Try to limit the time you spend near busy roads, construction sites, open fires and other sources of smoke.","Reduce the intensity of your outdoor activities or postpone them to the early morning when ozone levels tend to be lower. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities or postpone them to the early morning when ozone levels tend to be lower. Keep relevant medication(s) available and consult a doctor with any questions. It is recommended to limit the time you are near busy roads, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. Keep relevant medication(s) available and consult a doctor with any questions. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities or postpone them to the early morning when ozone levels tend to be lower. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, reduce the intensity of your outdoor activities or postpone them to the early morning when ozone levels tend to be lower. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities or postpone them to the early morning when ozone levels tend to be lower. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.973266,107.685388,2024-11-24T09:00:00Z,id,39,Low air quality,pm25,576.74,11.75,51.81,54.32,45.72,6.64,"Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors. Keep relevant medication(s) available and consult a doctor with any questions. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Avoid intense activities outdoors or postpone them to the early morning when ozone levels tend to be lower. Stay away from busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
-6.992522,107.570302,2024-11-24T09:00:00Z,id,46,Moderate air quality,pm25,541.04,6.05,46.02,42.14,38.29,6.04,"If you start to feel respiratory discomfort such as coughing or breathing difficulties, consider reducing the intensity of your outdoor activities. Try to limit the time you spend near busy roads, construction sites, open fires and other sources of smoke.","Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. Keep relevant medication(s) available and consult a doctor with any questions. It is recommended to limit the time you are near busy roads, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. Keep relevant medication(s) available and consult a doctor with any questions. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. In addition, consider reducing the time you spend near industrial emission stacks. Staying indoors with an activated air filtration system would be best for your long term health.","To keep you and your baby healthy, reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health.","Reduce the intensity of your outdoor activities. It is recommended to limit the time you are near busy roads, construction sites, open fires and other sources of smoke. Staying indoors with an activated air filtration system would be best for your long term health."
