dateTime,latitude,longitude,uaqi,uaqi_category,uaqi_dominant_pollutant,idn_menlhk,idn_menlhk_category,idn_menlhk_dominant_pollutant,co,no2,o3,pm10,pm25,so2,health_general,health_elderly,health_lung_disease,health_heart_disease,health_athletes,health_pregnant,health_children
2024-11-22 18:14:06.599280,-7.5301218861492885,-31.933025175411217,380,Hazardous,o3,4,Good,co,145.47,53.95,120.91,133.45,33.51,46.38,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 15:06:06.599332,89.11067777156512,81.51428770057595,357,Hazardous,no2,146,Unhealthy for Sensitive Groups,so2,94.17,99.79,139.23,155.2,70.86,23.26,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-23 08:16:06.599349,-71.9417964928604,72.63411992899239,67,Moderate,no2,4,Good,so2,115.18,43.2,85.18,74.67,51.95,6.58,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-22 04:24:06.599362,-71.69766963313117,-122.5057339252965,247,Very Unhealthy,o3,361,Hazardous,o3,5.14,45.55,53.64,134.09,146.93,9.82,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 15:04:06.599374,-30.892723640479737,96.73819175977656,496,Hazardous,so2,41,Good,pm10,190.13,54.0,186.6,140.88,62.67,179.61,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 22:11:06.599387,-76.15725801629652,29.73431220006168,67,Moderate,o3,260,Very Unhealthy,pm25,190.99,62.95,44.59,160.43,146.74,101.49,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-26 15:30:06.599401,-12.987165590939327,154.24841091492482,399,Hazardous,so2,173,Unhealthy,co,88.87,47.83,33.13,99.91,81.31,3.22,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-22 22:24:06.599416,-56.186126867947145,172.63191545044742,12,Good,co,307,Hazardous,pm25,139.77,21.44,199.66,115.86,141.09,154.98,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
2024-11-23 17:03:06.599431,17.08583809673337,-174.73309444618286,361,Hazardous,o3,383,Hazardous,o3,30.38,109.82,78.13,188.07,105.8,132.11,Stay indoors and reduce outdoor activities.,Avoid outdoor activities.,Carry medication and avoid polluted areas.,Minimize exposure to air pollution.,Consider exercising indoors.,Avoid outdoor pollution exposure.,Reduce time spent outdoors.
2024-11-24 15:11:06.599445,76.20242634558542,-93.56457108567476,84,Moderate,so2,266,Very Unhealthy,so2,3.27,185.33,133.36,139.07,141.53,150.86,Air quality is good for outdoor activities.,Outdoor activities are safe.,No special precautions needed.,Air quality is safe.,Outdoor activities are fine.,Air is safe for outdoor activities.,No restrictions for outdoor play.
